ds;y
2025-02-26;55.28
2025-02-27;55.29
2025-02-28;55.3
2025-03-03;55.29
2025-03-04;55.29
2025-03-05;55.26
2025-03-06;55.27
2025-03-07;55.27
2025-03-11;55.22
2025-03-12;55.22
2025-03-13;55.23
2025-03-14;55.2
2025-03-17;55.13
2025-03-18;54.82
2025-03-19;54.54
2025-03-20;54.47
2025-03-21;54.46
2025-03-24;54.33
2025-03-25;54.37
2025-03-26;54.36
2025-03-27;54.38
2025-03-28;54.37
2025-03-31;54.36
2025-04-01;54.36
2025-04-02;54.37
2025-04-03;54.4
2025-04-04;54.44
2025-04-07;54.48
2025-04-08;54.45
2025-04-09;54.39
2025-04-10;54.33
2025-04-11;54.29
2025-04-15;53.78
2025-04-16;53.76
2025-04-17;53.48
2025-04-18;52.19
2025-04-21;53.09
2025-04-23;53.7
2025-04-24;53.57
2025-04-25;53.19
2025-04-28;53.53
2025-04-29;53.54
2025-04-30;53.54
2025-05-01;53.54
2025-05-02;53.18
2025-05-05;53.41
2025-05-06;53.4
2025-05-07;53.4
2025-05-08;53.4
2025-05-09;53.38
2025-05-12;53.39
2025-05-13;53.35
