"ds","y"
2024-11-25,43.5913
2024-11-26,43.6673
2024-11-27,43.9696
2024-11-28,43.8921
2024-11-29,43.9046
2024-12-02,43.6849
2024-12-03,43.8598
2024-12-04,43.7073
2024-12-05,43.924
2024-12-06,43.8094
2024-12-09,43.9682
2024-12-10,43.8493
2024-12-11,43.7806
2024-12-12,43.7465
2024-12-13,43.7652
2024-12-16,43.8
2024-12-17,43.9907
2024-12-18,44.0611
2024-12-19,43.5198
2024-12-20,43.6456
2024-12-23,43.6901
2024-12-24,43.6261
2024-12-25,43.5848
2024-12-26,43.5449
2024-12-27,43.7516
2024-12-30,43.777
2024-12-31,43.6044
2025-01-01,43.379
2025-01-02,43.3779
2025-01-03,43.4187
2025-01-06,43.9023
2025-01-07,43.9127
2025-01-08,43.5454
2025-01-09,43.6928
2025-01-10,43.3026
2025-01-13,43.2231
2025-01-14,43.4146
2025-01-15,43.5554
2025-01-16,43.3274
2025-01-17,43.3901
2025-01-20,43.8989
2025-01-21,43.7042
2025-01-22,43.7787
2025-01-23,43.6512
2025-01-24,43.9027
2025-01-27,44.1251
2025-01-28,43.7142
2025-01-29,43.5635
2025-01-30,43.564
2025-01-31,43.1993
2025-02-03,42.7079
2025-02-04,43.1888
2025-02-05,43.3502
2025-02-06,42.9525
2025-02-07,43.106
2025-02-10,42.8917
2025-02-11,43.1269
2025-02-12,43.2827
2025-02-13,43.3888
2025-02-14,43.7121
2025-02-17,43.492
2025-02-18,43.5001
2025-02-19,43.5368
2025-02-20,43.4532
2025-02-21,43.6114
2025-02-24,43.6736
2025-02-25,43.8331
2025-02-26,43.6508
2025-02-27,43.2408
2025-02-28,43.2618
2025-03-03,43.5819
2025-03-04,43.5945
2025-03-05,44.5091
2025-03-06,44.6649
2025-03-07,44.7117
2025-03-10,44.8115
2025-03-11,45.2361
2025-03-12,45.3299
2025-03-13,45.1117
2025-03-14,45.0255
2025-03-17,45.3642
2025-03-18,45.3791
2025-03-19,45.2329
2025-03-20,44.9269
2025-03-21,45.0065
2025-03-24,44.982
2025-03-25,44.9704
2025-03-26,44.8233
2025-03-27,44.7677
2025-03-28,44.8696
2025-03-31,44.6859
2025-04-01,44.5046
2025-04-02,44.7536
2025-04-03,45.7365
2025-04-04,45.2923
2025-04-07,44.973
2025-04-08,45.0345
2025-04-09,45.6296
2025-04-10,46.1087
2025-04-11,46.9219
2025-04-14,46.7619
2025-04-15,46.5571
2025-04-16,46.9374
2025-04-17,47.067
2025-04-18,46.973
2025-04-21,47.7102
2025-04-22,47.7526
2025-04-23,47.4351
2025-04-24,47.4477
2025-04-25,47.4737
2025-04-28,47.3704
2025-04-29,47.3286
2025-04-30,47.2506
2025-05-01,47.1323
2025-05-02,47.2908
2025-05-05,47.1573
2025-05-06,47.0055
2025-05-07,47.1286
2025-05-08,46.9745
2025-05-09,46.7669
2025-05-12,46.0924
2025-05-13,46.2991
